tool_slug,captured_on,verdict,freshness,days_since_push,recent_commits,release_gap_days,issue_response_hours,contributors_90d,stars,open_issues,archived,reasons,captured_at
career-ops,2026-08-01,maintained,100,0,100,2,,39,62460,129,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released web-v0.5.0 2 days ago; 29 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""39 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
caveman,2026-08-01,maintained,100,6,96,29,,10,95064,200,false,"[{""fact"":""last commit"",""detail"":""Pushed 6 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""96 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.9.1 29 days ago; 16 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""10 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
cc-switch,2026-08-01,maintained,100,0,100,1,,8,123226,1449,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v3.19.1 1 day ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""8 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
chatbox,2026-08-01,maintained,100,4,100,4,,4,41245,1133,false,"[{""fact"":""last commit"",""detail"":""Pushed 4 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.22.1 4 days ago; 11 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""4 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
chatdev,2026-08-01,maintained,92,8,17,131,,7,33885,46,false,"[{""fact"":""last commit"",""detail"":""Last push 8 days ago — inside a normal release month."",""effect"":0},{""fact"":""commit volume"",""detail"":""17 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""Last release 131 days ago (v2.2.0)."",""effect"":-5},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""7 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
chattts,2026-08-01,stale,51,113,0,113,,0,39716,59,false,"[{""fact"":""last commit"",""detail"":""No push in 113 days. That is longer than a quarter."",""effect"":-25},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks."",""effect"":-6},{""fact"":""releases"",""detail"":""Released v0.2.5 113 days ago; 1 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-01T18:27:06.641092+00:00
cherry-studio,2026-08-01,maintained,100,0,100,1,,15,49247,849,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v2.0.0-rc.3 1 day ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""15 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
chroma,2026-08-01,maintained,93,0,100,88,,9,28919,332,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Last release 88 days ago against a 3-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""9 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
chrome-devtools-mcp,2026-08-01,maintained,100,1,100,18,,26,48327,75,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released chrome-devtools-mcp-v1.6.0 18 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""26 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
claude-code,2026-08-01,maintained,100,7,100,7,,9,139906,13514,false,"[{""fact"":""last commit"",""detail"":""Pushed 7 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v2.1.220 7 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""9 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
claude-code-best-practice,2026-08-01,maintained,100,0,100,,,2,63854,1,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
claude-code-game-studios,2026-08-01,stale,55,71,1,80,,1,23531,37,false,"[{""fact"":""last commit"",""detail"":""Last push 71 days ago. The commit line has slowed."",""effect"":-8},{""fact"":""commit volume"",""detail"":""Only 1 commit in the last 12 weeks."",""effect"":-3},{""fact"":""releases"",""detail"":""Last release 80 days ago against a 23-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5}]",2026-08-01T18:27:06.641092+00:00
claude-flow,2026-08-01,maintained,100,0,100,1,,3,66757,519,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v3.34.0 1 day ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""3 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
